code	name	link
1 12 210 01 33 4	Навоз конский свежий	/fkko/11221001334/
1 12 210 02 29 5	Навоз конский перепревший	/fkko/11221002295/
1 12 221 11 40 5	Отходы подстилки из древесных опилок и стружки при содержании лошадей практически неопасные	/fkko/11222111405/
1 12 300 00 00 0	Отходы разведения верблюдов и прочих животных семейства верблюжьих	/fkko/11230000000/
1 12 310 00 00 0	Навоз верблюжий	/fkko/11231000000/
1 12 310 01 33 4	Навоз верблюжий свежий	/fkko/11231001334/
1 12 310 02 29 5	Навоз верблюжий перепревший	/fkko/11231002295/
1 12 400 00 00 0	Отходы разведения овец и коз	/fkko/11240000000/
1 12 410 00 00 0	Навоз мелкого рогатого скота	/fkko/11241000000/
1 12 410 01 29 4	Навоз мелкого рогатого скота свежий	/fkko/11241001294/
1 12 410 02 29 5	Навоз мелкого рогатого скота перепревший	/fkko/11241002295/
1 12 500 00 00 0	Отходы разведения свиней	/fkko/11250000000/
1 12 510 00 00 0	Навоз свиней	/fkko/11251000000/
1 12 510 01 33 3	Навоз свиней свежий	/fkko/11251001333/
1 12 510 02 29 4	Навоз свиней перепревший	/fkko/11251002294/
1 12 520 01 39 4	Отходы подстилки из древесных опилок при содержании свиней	/fkko/11252001394/
1 12 551 11 32 4	Жидкая фракция сепарации свиного навоза при самосплавной системе навозоудаления	/fkko/11255111324/
1 12 551 12 39 4	Твердая фракция сепарации свиного навоза при самосплавной системе навозоудаления	/fkko/11255112394/
1 12 551 21 32 4	Жидкая фракция сепарации свиного навоза при смывной системе навозоудаления	/fkko/11255121324/
1 12 551 22 39 4	Твердая фракция сепарации свиного навоза при смывной системе навозоудаления	/fkko/11255122394/
1 12 552 11 32 4	Навозосодержащие стоки при гидроудалении навоза свиней	/fkko/11255211324/
1 12 552 12 32 3	Стоки навозные при самосплавной системе навозоудаления свиней	/fkko/11255212323/
1 12 553 11 33 4	Осадок навозных стоков от свинарников при отстаивании в навозонакопителях	/fkko/11255311334/
1 12 700 00 00 0	Отходы разведения сельскохозяйственной птицы	/fkko/11270000000/
1 12 710 00 00 0	Помет птичий	/fkko/11271000000/
1 12 711 01 33 3	Помет куриный свежий	/fkko/11271101333/
1 12 711 02 29 4	Помет куриный перепревший	/fkko/11271102294/
1 12 711 12 29 4	Помет куриный, выдержанный в пометохранилище, обеззараженный	/fkko/11271112294/
1 12 712 01 33 3	Помет утиный, гусиный свежий	/fkko/11271201333/
1 12 712 02 29 4	Помет утиный, гусиный перепревший	/fkko/11271202294/
1 12 713 01 33 3	Помет прочих птиц свежий	/fkko/11271301333/
1 12 713 02 29 4	Помет прочих птиц перепревший	/fkko/11271302294/
1 12 720 00 00 0	Отходы инкубаторов для птицеводства	/fkko/11272000000/
1 12 721 11 29 4	Скорлупа куриных яиц при инкубации цыплят бройлеров	/fkko/11272111294/
1 12 790 00 00 0	Прочие отходы разведения сельскохозяйственной птицы	/fkko/11279000000/
1 12 791 01 33 4	Отходы подстилки из древесных опилок при содержании птиц	/fkko/11279101334/
1 12 791 02 39 4	Отходы подстилки из соломы при содержании птиц	/fkko/11279102394/
1 12 796 11 41 5	Мука яичной скорлупы	/fkko/11279611415/
1 12 798 00 00 0	Отходы при очистке сточных вод на локальных очистных сооружениях при разведении сельскохозяйственной птицы	/fkko/11279800000/
1 12 798 91 39 4	Осадок механической очистки сточных вод, образующихся при разведении сельскохозяйственной птицы	/fkko/11279891394/
1 12 798 92 39 4	Смесь осадков биологической и флотационной очистки сточных вод, образующихся при разведении сельскохозяйственной птицы	/fkko/11279892394/
1 12 900 00 00 0	Отходы разведения и содержания животных прочие	/fkko/11290000000/
1 12 910 00 00 0	Отходы разведения животных в звероводческих хозяйствах и питомниках	/fkko/11291000000/
1 12 911 00 00 0	Навоз пушных зверей	/fkko/11291100000/
1 12 911 01 33 4	Навоз пушных зверей свежий	/fkko/11291101334/
1 12 911 02 29 5	Навоз пушных зверей перепревший	/fkko/11291102295/
1 12 912 11 40 4	Отходы подстилки из древесных опилок при содержании пушных зверей	/fkko/11291211404/
1 12 960 00 00 0	Отходы разведения и содержания лабораторных животных	/fkko/11296000000/
1 12 961 11 40 4	Отходы подстилки из древесных опилок при содержании лабораторных животных	/fkko/11296111404/
1 12 970 00 00 0	Отходы разведения и содержания собак	/fkko/11297000000/
1 12 971 01 33 4	Экскременты собак свежие	/fkko/11297101334/
1 12 971 11 40 4	Отходы подстилки из древесных опилок при содержании собак	/fkko/11297111404/
1 12 971 21 20 4	Отходы подстилки из сена при содержании собак	/fkko/11297121204/
